Fee-Earnings reports from 09-20-2020 to 12-31-2020
Category,Name,ASIN,Seller,Tracking ID,Date Shipped,Price,Items Shipped,Returns,Revenue,Ad Fees,Device Type Group
Health &amp; Personal Care Appliances,Dr. Morepen BG-03-25 Strips (Pack of 2 Multicolor),B06XSV562D,3rd Party,bestdealsi07a-21,2020-12-28 12:32:12,587.50,1,0,587.5,47.00,PHONE
Computers Tablets & Components,havit MS1003 Wired USB Gaming Mouse 1200 DPI with RGB Light,B07R4TFZZ6,3rd Party,bestdealsi07a-21,2020-12-03 15:22:24,372.88,1,0,372.88,14.92,PHONE
Computers Tablets & Components,Acer Nitro 5 Intel Core i5-9th Gen 15.6-inch Display 1920 x 1080 Thin and Light Gaming Laptop (8GB Ram+16GB Optane/1TB HDD/Windows 10 Home/GTX 1650 Gr,B08H9NCMJ7,3rd Party,bestdealsi07a-21,2020-11-30 09:17:19,45754.24,1,0,45754.24,1830.17,PHONE
Computers Tablets & Components,Acer Nitro 5 Intel Core i5-9th Gen 15.6-inch Display 1920 x 1080 Thin and Light Gaming Laptop (8GB Ram+16GB Optane/1TB HDD/Windows 10 Home/GTX 1650 Gr,B08H9NCMJ7,3rd Party,bestdealsi07a-21,2020-11-27 18:46:16,45754.24,1,0,45754.24,1830.17,PHONE
Beauty & Grooming,Wild Stone Ultra Sensual Eau De Parfum For Men 100ml,B00L341H1I,3rd Party,bestdealsi07a-21,2020-11-26 15:28:38,347.32,1,0,347.32,27.79,PHONE
Other,Mobile Prepaid Recharge,B01LTI9KAW,3rd Party,bestdealsi07a-21,2020-11-19 09:11:50,48.00,1,0,48.0,0.00,PHONE
Computers Tablets & Components,Acer Nitro 5 Intel Core i5-9th Gen 15.6-inch Display 1920 x 1080 Thin and Light Gaming Laptop (8GB Ram+16GB Optane/1TB HDD/Windows 10 Home/GTX 1650 Gr,B08H9NCMJ7,3rd Party,bestdealsi07a-21,2020-11-14 00:52:21,45754.24,1,0,45754.24,1830.17,PHONE
Computers Tablets & Components,Exchange Pick-up Service for Laptops,B07P64X5YP,3rd Party,bestdealsi07a-21,2020-11-07 15:01:38,84.75,1,0,84.75,3.39,DESKTOP
Clothing & Accessories,Finz Men's Slim Fit Pants (BLACK-CONTRST2-34_Black_34),B07R6H2GYG,3rd Party,bestdealsi07a-21,2020-11-03 16:27:08,408.57,0,1,-408.57,-36.77,PHONE
Clothing & Accessories,Finz Jogger Pants for Men Man Gents Boys Grey,B0837SSHZX,3rd Party,bestdealsi07a-21,2020-11-03 16:07:13,408.57,0,1,-408.57,-36.77,PHONE
Clothing & Accessories,Finz Men's Slim Fit Trackpants (BLACK-CNTRAST4-34_Black_34),B07SPHSZMV,3rd Party,bestdealsi07a-21,2020-11-03 15:59:39,408.57,0,1,-408.57,-36.77,PHONE
Computers Tablets & Components,Acer Nitro 5 AN515-43 15.6 inch FHD IPS Display Gaming Laptop (AMD Ryzen 5 3550H Processor/8GB Ram/512GB SSD/Win10/GTX 1650 Graphics) 2.2kgs Obsidia,B08HR2VDHD,3rd Party,bestdealsi07a-21,2020-11-02 03:34:16,44059.32,1,0,44059.32,1762.37,DESKTOP
Other,Amazon Pay balance: Money,B01LTHND2O,3rd Party,bestdealsi07a-21,2020-11-01 15:08:36,1000.00,1,0,1000.0,0.00,DESKTOP
Other,Amazon Pay balance: Money,B01LTHND2O,3rd Party,bestdealsi07a-21,2020-11-01 15:07:23,1000.00,1,0,1000.0,0.00,DESKTOP
Other,Amazon Pay balance: Money,B01LTHND2O,3rd Party,bestdealsi07a-21,2020-11-01 15:05:48,1000.00,1,0,1000.0,0.00,DESKTOP
Other,Amazon Pay balance: Money,B01LTHND2O,3rd Party,bestdealsi07a-21,2020-11-01 15:02:03,1000.00,1,0,1000.0,0.00,DESKTOP
Cell Phones & Accessories,Redmi 9A (Sea Blue 3Gb Ram 32Gb Storage),B086973W9M,3rd Party,bestdealsi07a-21,2020-10-27 23:00:12,6355.08,1,0,6355.08,0.00,PHONE
Clothing & Accessories,Finz Men's Slim Fit Trackpants (BLACK-CNTRAST4-34_Black_34),B07SPHSZMV,3rd Party,bestdealsi07a-21,2020-10-27 15:02:28,408.57,1,0,408.57,36.77,PHONE
Clothing & Accessories,Finz Men's Slim Fit Pants (BLACK-CONTRST2-34_Black_34),B07R6H2GYG,3rd Party,bestdealsi07a-21,2020-10-27 15:02:28,408.57,1,0,408.57,36.77,PHONE
Clothing & Accessories,Finz Jogger Pants for Men Man Gents Boys Grey,B0837SSHZX,3rd Party,bestdealsi07a-21,2020-10-27 15:02:28,408.57,1,0,408.57,36.77,PHONE
Grocery & Gourmet Food,Tata Tea Premium 1500 g,B08H654828,3rd Party,bestdealsi07a-21,2020-10-25 15:35:13,585.71,1,0,585.71,46.86,DESKTOP
Luggage,AmazonBasics Laptop Backpack - Fits Up to 17-Inch Laptops,B00EEBS9O0,3rd Party,bestdealsi07a-21,2020-10-21 23:16:03,1185.59,1,0,1185.59,106.70,PHONE
Other,DTH recharge,B079SBGWJR,3rd Party,bestdealsi07a-21,2020-10-19 20:38:21,50.00,1,0,50.0,0.00,PHONE
